mien,khu_vuc,tinh,name,name_short,name_global,tax,address,representative,phone,active_date,manage_by,category,status,last_update,conpany_briefcase,career_code,career_name,slug
Miền Trung,Miền Trung,Huế,TRƯỜNG THPT HƯƠNG LÂM,,,3301264996,", Xã Hương Lâm, Huyện A Lưới, Thành phố Huế",Trần Tuấn Thành,0543870720,2010-11-30,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,2025-05-21 18:01:01,,,,/3301264996-truong-thpt-huong-lam
Miền Trung,Miền Trung,Huế,TRƯỜNG MẦM NON HƯƠNG LÂM,,,3301264971,"Thôn Cưr Xo, Xã Lâm Đớt, Huyện A Lưới, Thành phố Huế",Lê Thị Dịu,0543870980,2010-11-30,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-21 17:42:02,,,,/3301264971-truong-mam-non-huong-lam
Miền Trung,Miền Trung,Huế,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN MINH TIẾN,"Minh Tien Co., Ltd.",Minh Tien Sole Member Limited Liability Company,3300898975,"Thôn Ka Nôn I, Xã Hương Lâm, Huyện A Lưới, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN VĂN MINH,02343878715-0985159,2009-04-07,Chi cục Thuế Huyện A Lưới,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-03-05 03:36:01,,,,/3300898975-cong-ty-trach-nhiem-huu-han-mot-thanh-vien-minh-tien
Miền Trung,Miền Trung,Huế,CÔNG TY TRÁCH NHIỆM HỮU HẠN KHOÁNG SẢN PHÚ LÂM,,,3301519323,"Thôn Hương Thịnh, Xã Hương Phong, Huyện A Lưới, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN ĐÌNH PHÚ,0905048866,2013-05-27,Đội Thuế huyện A Lưới,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Không hoạt động tại địa chỉ đã đăng ký,2025-05-29 23:52:01,"Khai thác đá, cát, sỏi, đất sét","0810, 2392, 4290, 4312, 4752, 4933","Khai thác đá, cát, sỏi, đất sét, Sản xuất vật liệu xây dựng từ đất sét, Xây dựng công trình kỹ thuật dân dụng khác, Chuẩn bị mặt bằng, Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh, Vận tải hàng hóa bằng đường bộ",/3301519323-cong-ty-trach-nhiem-huu-han-khoang-san-phu-lam
Miền Trung,Miền Trung,Huế,HỢP TÁC XÃ DỊCH VỤ TỔNG HỢP HƯƠNG PHONG,,,3301565827,"Thôn Hương Phú, xã Hương Phong, Xã Hương Phong, Huyện A Lưới, Thành phố Huế",Trần Văn Dương,01645432714,2015-05-14,Đội Thuế huyện A Lưới,Hợp tác xã,Đang hoạt động (đã được cấp GCN ĐKT),2025-05-29 23:32:01,,,,/3301565827-hop-tac-xa-dich-vu-tong-hop-huong-phong
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH XÂY DỰNG – THƯƠNG MẠI TỔNG HỢP SƠN HÀ,,,3301614464,"Thôn Hương Thịnh, Xã Hương Phong, Huyện A Lưới, Tỉnh Thừa Thiên Huế, Việt Nam",LÊ HỒNG SƠN,01227504481 - 016866,2017-10-05,Đội Thuế huyện A Lưới,Công ty trách nhiệm hữu hạn ngoài NN,Ngừng hoạt động và đã đóng MST,2025-03-24 21:50:01,Xây dựng công trình kỹ thuật dân dụng khác,"4100, 4210, 4290, 4312, 4330, 4649, 4663, 4669, 4690, 4773, 4933","Xây dựng nhà các loại, Xây dựng công trình đường sắt và đường bộ, Xây dựng công trình kỹ thuật dân dụng khác, Chuẩn bị mặt bằng, Hoàn thiện công trình xây dựng, Bán buôn đồ dùng khác cho gia đình, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Bán buôn chuyên doanh khác chưa được phân vào đâu, Bán buôn tổng hợp, Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh, Vận tải hàng hóa bằng đường bộ",/3301614464-cong-ty-tnhh-xay-dung-thuong-mai-tong-hop-son-ha
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MTV PHÁT TRIỂN ĐẦU TƯ ĐẠI AN PHÚ,,,3301633555,"Hương Phú, Xã Hương Phong, Huyện A Lưới, Tỉnh Thừa Thiên Huế, Việt Nam",LÊ TRỌNG VƯƠNG,0909340740,2018-09-05,Thành phố Huế - VP Chi cục Thuế khu vực XII,Công ty trách nhiệm hữu hạn ngoài NN,Không hoạt động tại địa chỉ đã đăng ký,2025-03-17 15:20:01,Chăn nuôi lợn,"0145, 6810","Chăn nuôi lợn, Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",/3301633555-cong-ty-tnhh-mtv-phat-trien-dau-tu-dai-an-phu
Miền Trung,Miền Trung,Huế,UBND XÃ HƯƠNG PHONG,,,3300306442,"Thôn Hương Thịnh, Xã Hương Phong, Huyện A Lưới, Thành phố Huế",Nguyễn Thị Hải Thúy,,1999-07-08,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-22 14:16:01,,,,/3300306442-ubnd-xa-huong-phong
Miền Trung,Miền Trung,Huế,TRƯỜNG TIỂU HỌC NHÂM,,,3301585365,"Thôn Ka Leng A Bung, Xã Quảng Nhâm, Huyện A Lưới, Thành phố Huế",Lê Thị Hồng Hội,,2016-03-10,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-29 23:24:01,,,,/3301585365-truong-tieu-hoc-nham
Miền Trung,Miền Trung,Huế,CÔNG TY CỔ PHẦN CHẾ BIẾN NÔNG SẢN A LƯỚI,,,3301516234,"Thôn A Bung, Xã Nhâm, Huyện A Lưới, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN VĂN HẠNH,0913454039,2013-04-04,Đội Thuế huyện A Lưới,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-05-22 19:04:01,Chế biến và bảo quản rau quả,1030,Chế biến và bảo quản rau quả,/3301516234-cong-ty-co-phan-che-bien-nong-san-a-luoi
