mien,khu_vuc,tinh,name,name_short,name_global,tax,address,representative,phone,active_date,manage_by,category,status,last_update,conpany_briefcase,career_code,career_name,slug
Miền Trung,Miền Trung,Huế,TRƯỜNG THCS HƯƠNG LÂM,,,3301265358,", Xã Hương Lâm, Huyện A Lưới, Thành phố Huế",Nguyễn Đình Phú,0543878781,2010-11-30,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-05-21 18:02:01,,,,/3301265358-truong-thcs-huong-lam
Miền Trung,Miền Trung,Huế,ĐOÀN TNCS HỒ CHÍ MINH HUYỆN A LƯỚI,,,3301265340,"08 A Vầu, Thị trấn A Lưới, Huyện A Lưới, Thành phố Huế",Trần Toàn,,2010-11-30,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-21 18:02:01,,,,/3301265340-doan-tncs-ho-chi-minh-huyen-a-luoi
Miền Trung,Miền Trung,Huế,TRƯỜNG TIỂU HỌC HỒNG QUẢNG,,,3301265661,"Thôn Pi ây 1, Xã Quảng Nhâm, Huyện A Lưới, Thành phố Huế",Đào Phúc,0543878631,2010-12-01,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-21 18:01:01,,,,/3301265661-truong-tieu-hoc-hong-quang
Miền Trung,Miền Trung,Huế,TRƯỜNG THPT HƯƠNG LÂM,,,3301264996,", Xã Hương Lâm, Huyện A Lưới, Thành phố Huế",Trần Tuấn Thành,0543870720,2010-11-30,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,2025-05-21 18:01:01,,,,/3301264996-truong-thpt-huong-lam
Miền Trung,Miền Trung,Huế,TRƯỜNG TIỂU HỌC HỒNG KIM,,,3301264989,"Thôn A Tia 2, Xã Hồng Kim, Huyện A Lưới, Thành phố Huế",Trịnh Văn Phú,0543879479,2010-11-30,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-21 18:01:01,,,,/3301264989-truong-tieu-hoc-hong-kim
Miền Trung,Miền Trung,Huế,TRƯỜNG MẦM NON HOA ĐỖ QUYÊN,,,3301264770,"Cụm 3, Thị trấn A Lưới, Huyện A Lưới, Thành phố Huế",Nguyễn Thị Thanh Sao,0543977105,2010-11-30,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,2025-05-21 17:57:01,,,,/3301264770-truong-mam-non-hoa-do-quyen
Miền Trung,Miền Trung,Huế,TRƯỜNG TH & THCS HƯƠNG NGUYÊN,,,3301264918,"Thôn Chi Đu Nghĩa, Xã Hương Nguyên, Huyện A Lưới, Thành phố Huế",A Moong Thị Hạnh,0543878147,2010-11-30,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-21 17:56:01,,,,/3301264918-truong-th-thcs-huong-nguyen
Miền Trung,Miền Trung,Huế,TRƯỜNG TIỂU HỌC A ROÀNG,,,3301265213,"Thôn A Roàng 2, Xã A Roằng, Huyện A Lưới, Thành phố Huế",Nguyễn Thị Phúc,0543870848,2010-11-30,Đội Thuế huyện A Lưới,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-05-21 17:55:01,,,,/3301265213-truong-tieu-hoc-a-roang
Miền Trung,Miền Trung,Huế,ĐỘI HÀNH CHÍNH,,,3301264403,"cụm 4, Thị trấn A Lưới, Huyện A Lưới, Thành phố Huế",,0543878554,2010-11-29,Đội Thuế huyện A Lưới,Các tổ chức kinh tế khác,Ngừng hoạt động và đã đóng MST,2025-05-21 17:55:01,,,,/3301264403-doi-hanh-chinh
Miền Trung,Miền Trung,Huế,ĐỘI NGHIỆP VỤ DỰ TOÁN,,,3301264393,"cụm 4, Thị trấn A Lưới, Huyện A Lưới, Thành phố Huế",,0543977774,2010-11-29,Đội Thuế huyện A Lưới,Các tổ chức kinh tế khác,Ngừng hoạt động và đã đóng MST,2025-05-21 17:54:02,,,,/3301264393-doi-nghiep-vu-du-toan
